Résultat expérience
(0, 0, 0, 1)
(0, 0, 0, 1)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963488, -0.002617986, -5.14041E-06, 0.9999947)
(-0.001963484, -0.00327248, -6.425509E-06, 0.9999927)
(-0.00327243, -0.005890421, -1.927643E-05, 0.9999773)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.003926896, -0.006544888, -2.570184E-05, 0.9999709)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.004581355, -0.007199345, -3.298395E-05, 0.9999636)
(-0.005890239, -0.008508231, -5.011819E-05, 0.9999465)
(-0.01047089, -0.01308888, -0.0001370714, 0.9998595)
(-0.01177912, -0.0163606, -0.0001927526, 0.9997967)
(-0.02681053, -0.03924568, -0.001053389, 0.9988693)
(-0.05344906, -0.08485982, -0.004558709, 0.9949479)
(-0.06944506, -0.1224346, -0.008588303, 0.9900068)
(-0.08073162, -0.1546226, -0.01267833, 0.984588)
(-0.08692838, -0.1712584, -0.01517143, 0.9812665)
(-0.1073011, -0.2332836, -0.02590931, 0.9661232)
(-0.1163158, -0.2675767, -0.03255804, 0.9559359)
(-0.1282361, -0.3111152, -0.04241005, 0.9407254)
(-0.1286269, -0.3160083, -0.04328775, 0.9389995)
(-0.1285132, -0.3184654, -0.04362434, 0.938169)
(-0.1283985, -0.3209205, -0.04396064, 0.937332)
(-0.1283697, -0.3215339, -0.04404467, 0.9371218)
(-0.1268255, -0.3283309, -0.04453797, 0.9349495)
(-0.1222565, -0.3346474, -0.04383437, 0.9333504)
(-0.119643, -0.3384249, -0.04342828, 0.9323455)
(-0.1031306, -0.3543554, -0.03935596, 0.9285728)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09624872, -0.3594904, -0.03730826, 0.9274217)
(-0.09335439, -0.3559646, -0.03576531, 0.9291367)
(-0.09335439, -0.3559646, -0.03576531, 0.9291367)
(-0.09038107, -0.3542541, -0.03442283, 0.9301346)
(-0.08862063, -0.3524937, -0.03355325, 0.9310042)
(-0.08407953, -0.3605556, -0.03265452, 0.9283663)
(-0.07331705, -0.5038282, -0.04297186, 0.8596134)
(-0.06686419, -0.6434748, -0.05657968, 0.7604395)
(-0.07081105, -0.723736, -0.07511003, 0.6823125)
(-0.07091712, -0.7380999, -0.07855441, 0.6663397)
(-0.07028612, -0.7722838, -0.08679612, 0.6253831)
(-0.06752511, -0.7915465, -0.08896104, 0.6008165)
(-0.06588356, -0.8024235, -0.09018349, 0.5862106)
(-0.06588356, -0.8024235, -0.09018349, 0.5862106)
(-0.05785623, -0.8500128, -0.09553199, 0.514786)
(-0.05263039, -0.8778672, -0.09924438, 0.4655426)
(-0.0512614, -0.8841826, -0.09995835, 0.4534332)
(-0.05155168, -0.8866397, -0.1019997, 0.4481167)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.05397977, -0.886901, -0.1073268, 0.4460647)
(-0.0508018, -0.8782501, -0.09579624, 0.4657457)
(-0.05055927, -0.8780076, -0.09518835, 0.4663536)
(-0.05061361, -0.8791629, -0.09589581, 0.4640203)
(-0.04848614, -0.9108894, -0.1120449, 0.3941769)
(-0.04150324, -0.9457722, -0.1339718, 0.2929915)
(-0.03546215, -0.9610853, -0.1477105, 0.2307361)
(-0.007907353, -0.9831051, -0.1775529, 0.04378278)
(0.002385406, -0.9831707, -0.1822199, -0.0128705)
(0.01132036, -0.9807121, -0.1857507, -0.05976835)
(0.01744556, -0.9777392, -0.1885041, -0.09048717)
(0.02315738, -0.9740114, -0.1924178, -0.1172218)
(0.02454207, -0.9731423, -0.1922461, -0.124231)
