(1.805324, 1, 29.94563)
(1.844522, 1, 29.94324)
(4.186993, 0.293207, 29.69797)
(8.745993, 1.157079, 28.69639)
(12.37654, 1.824564, 27.31559)
(13.64954, 1.824564, 26.70225)
(15.12955, 1.863819, 25.89113)
(15.93342, 1.981573, 25.40005)
(16.39474, 2.060067, 25.10157)
(17.04281, 2.217033, 24.6589)
(17.26712, 2.25627, 24.50038)
(17.93196, 2.334736, 24.01381)
(18.27587, 2.334736, 23.75313)
(18.58299, 2.413194, 23.50905)
(18.58299, 2.413194, 23.50905)
(19.03856, 2.491642, 23.13673)
(19.21712, 2.570079, 22.98341)
(19.36579, 2.609294, 22.85556)
(19.60124, 2.687715, 22.64824)
(19.89453, 2.726921, 22.38806)
(20.49756, 2.844522, 21.82768)
(21.11757, 2.844522, 21.22843)
(21.53029, 2.844522, 20.80972)
(22.04114, 2.844522, 20.26786)
(22.04114, 2.844522, 20.26786)
(22.99654, 2.844522, 19.17699)
(23.22086, 2.844522, 18.90475)
(23.27027, 2.844522, 18.84389)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.29492, 2.844522, 18.81341)
(23.22086, 2.844522, 18.90474)
(23.07167, 2.844522, 19.08653)
(22.79446, 2.844522, 19.41675)
(22.33246, 2.805325, 19.94999)
(22.20141, 2.805325, 20.09573)
(21.45012, 2.805325, 20.89577)
(21.20246, 2.805325, 21.14702)
(20.89578, 2.805325, 21.45011)
(20.26948, 2.805325, 22.04289)
(19.44814, 2.805325, 22.77083)
(18.8454, 2.805325, 23.27212)
(17.75979, 2.805325, 24.1108)
(17.31498, 2.805325, 24.4322)
(17.05818, 2.805325, 24.61218)
(16.99369, 2.805325, 24.65675)
(16.66948, 2.805325, 24.87708)
(16.53901, 2.805325, 24.96402)
(16.30957, 2.805325, 25.11452)
(15.97943, 2.805325, 25.32585)
(15.84661, 2.805325, 25.40917)
(15.51265, 2.805325, 25.61442)
(15.24357, 2.805325, 25.77546)
(14.63208, 2.805325, 26.12744)
(14.63208, 2.805325, 26.12744)
(13.10381, 2.805325, 26.9264)
(12.71476, 2.805325, 27.11228)
(12.50143, 2.805325, 27.21131)
(11.78483, 2.805325, 27.52923)
(11.78483, 2.805325, 27.52923)
(11.31469, 2.805325, 27.72578)
(10.98727, 2.805325, 27.85715)
(10.84126, 2.805325, 27.9143)
(10.033, 2.805325, 28.21488)
(9.216427, 2.805325, 28.49207)
(8.617713, 2.805325, 28.67884)
(7.939653, 2.805325, 28.87391)
(7.939653, 2.805325, 28.87391)
(7.447181, 2.805325, 29.00483)
(6.91442, 2.805325, 29.13643)
(6.532443, 2.805325, 29.22444)
(6.379334, 2.805325, 29.25824)
(6.26439, 2.805325, 29.28307)
(5.49613, 2.766124, 29.43932)
(5.072445, 2.687715, 29.51986)
(4.802096, 2.648505, 29.56725)
(4.492843, 2.570079, 29.62008)
(4.492843, 2.570079, 29.62008)
(3.755352, 2.491642, 29.72663)
(3.093552, 2.373966, 29.80842)
(2.547092, 2.295504, 29.86359)
(2.273476, 2.256269, 29.88734)
(2.195224, 2.25627, 29.89319)
(1.137794, 2.099311, 29.95825)
(0.8240544, 2.060067, 29.96994)
(0.510216, 1.981573, 29.9796)
(-0.1962541, 1.903072, 29.98576)
(-2.353314, 1.589011, 29.90176)
(-3.447752, 1.431954, 29.79809)
(-5.814179, 1.03927, 29.43117)
(-7.30839, 0.8821906, 29.09594)
(-9.306284, 0.4502521, 28.51475)
(-11.33094, 0.1754358, 27.76563)
(-12.23087, -0.02082062, 27.37451)
(-12.55135, -0.09931135, 27.226)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-13.04475, -0.2955041, 26.98437)
(-12.30405, 0.09692848, 27.34584)
(-11.90903, 0.09692848, 27.52016)
(-11.83647, 0.05767727, 27.55014)
(-11.76381, 0.01842737, 27.57987)
(-11.76381, 0.01842737, 27.57987)
(-11.76381, 0.01842737, 27.57987)
(-11.83597, 0.01842725, 27.54898)
(-12.05197, 0.01842737, 27.45517)
(-12.58922, 0.05767715, 27.2144)
